city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bryne,58.7354,5.6477,279.14,74,100,7.72,NO,1710292141
vadso,70.0744,29.7487,267.64,73,100,4.12,NO,1710292142
ende,-8.8432,121.6623,299.06,92,100,1.52,ID,1710292143
alzamay,55.5562,98.6644,266.78,95,100,1.99,RU,1710292144
narvik,68.4384,17.4272,271.69,82,64,3.5,NO,1710292146
khangarh,29.9173,71.1618,292.19,60,100,3.07,PK,1710292148
sovetskiy,61.3614,63.5842,252.78,100,95,2.67,RU,1710292152
kirakira,-10.4544,161.9205,302.93,74,100,3.07,SB,1710292154
longavi,-35.9667,-71.6833,289.3,63,0,2.98,CL,1710292157
ust'-kulom,61.6864,53.6902,261.56,97,90,3.03,RU,1710292157
torre de moncorvo,41.1792,-7.0358,281.88,87,100,0.45,PT,1710292158
linares,-35.85,-71.6,289.68,61,0,3.12,CL,1710292159
myrtle beach,33.6891,-78.8867,288.18,79,0,3.6,US,1710292161
al muwayh,22.4333,41.7583,294.42,36,4,6.58,SA,1710292162
camana,-16.6228,-72.7111,295.83,84,96,1.99,PE,1710292164
sinabang,2.4803,96.3801,300.39,75,24,1.1,ID,1710292165
hadibu,12.65,54.0333,298.2,82,7,3.37,YE,1710292167
ceeldheer,3.8488,47.1806,300.78,84,12,5.42,SO,1710292228
magadan,59.5667,150.8,264.0,86,100,0.44,RU,1710292229
emerald,-23.5333,148.1667,302.23,51,4,5.94,AU,1710292229
new norfolk,-42.7826,147.0587,292.43,40,0,0.33,AU,1710292240
mata-utu,-13.2816,-176.1745,303.07,74,55,3.75,WF,1710292241
perros-guirec,48.8145,-3.4396,284.54,95,100,0.89,FR,1710292243
eyl,7.9803,49.8164,298.96,77,44,4.46,SO,1710292243
whangarei,-35.7317,174.3239,296.27,66,100,3.27,NZ,1710292255
amurzet,47.6967,131.0981,268.69,93,94,0.53,RU,1710292257
lompoc,34.6391,-120.4579,290.94,84,40,5.66,US,1710292261
baruun-urt,46.6806,113.2792,261.55,91,41,3.3,MN,1710292264
petropavlovsk-kamchatsky,53.0452,158.6483,268.48,72,0,5.36,RU,1710292029
tarko-sale,64.9225,77.785,247.46,99,31,6.3,RU,1710292265
spittal an der drau,46.8,13.5,275.67,88,19,2.07,AT,1710292266
velizh,55.6056,31.1967,271.48,74,100,2.79,RU,1710292267
coahuayana de hidalgo,18.7,-103.6583,296.49,74,100,1.52,MX,1710292268
carutapera,-1.195,-46.02,298.55,94,100,2.47,BR,1710292269
bouna,9.2667,-3.0,301.31,59,100,1.86,CI,1710292270
hotan,37.0997,79.9269,278.59,37,100,2.62,CN,1710292271
bangaon,23.0667,88.8167,295.86,84,0,2.01,IN,1710292271
morales,2.757,-76.6172,290.92,96,90,0.69,CO,1710292273
amahai,-3.3333,128.9167,302.77,72,100,2.41,ID,1710292274
harstad,68.799,16.5293,273.24,96,100,2.24,NO,1710292274
meadow lake,34.8014,-106.5436,291.33,18,100,3.95,US,1710292275
sur,22.5667,59.5289,296.77,61,26,5.4,OM,1710292279
chernyshevskiy,63.0128,112.4714,251.56,100,100,0.74,RU,1710292280
minas de marcona,-15.2119,-75.1103,295.76,66,71,0.46,PE,1710292281
porto novo,6.4965,2.6036,301.02,86,100,3.35,BJ,1710292283
saint-francois,46.4154,3.9054,282.82,88,100,2.06,FR,1710292285
timaru,-44.4,171.25,287.63,52,100,2.24,NZ,1710292288
islamorada,24.9243,-80.6278,297.04,79,0,5.65,US,1710292051
sinazongwe,-17.2614,27.4618,296.84,72,33,2.1,ZM,1710292293
essaouira,31.5125,-9.77,289.9,86,100,5.88,MA,1710292293
selfoss,63.9331,-20.9971,276.51,97,100,4.41,IS,1710292294
georgetown,5.4112,100.3354,301.11,74,20,3.09,MY,1710292122
kalifornsky,60.4183,-151.29,277.34,41,40,8.23,US,1710292297
kpandae,8.4689,-0.0113,302.79,53,75,3.59,GH,1710292298
yaren,-0.5472,166.916,301.41,81,86,4.14,NR,1710292239
bor,56.3567,44.0669,271.11,100,100,1.63,RU,1710292300
fredericksburg,38.3032,-77.4605,288.27,55,0,2.57,US,1710292038
marka,1.7159,44.7717,299.94,82,29,3.91,SO,1710292301
miastko,54.0028,16.9826,278.42,92,100,1.34,PL,1710292303
farasan,16.7022,42.1183,300.99,80,76,1.71,SA,1710292304
xining,36.6167,101.7667,274.58,36,0,1.04,CN,1710292304
nizhniy kuranakh,58.8353,125.4869,264.01,92,100,1.26,RU,1710292309
akureyri,65.6835,-18.0878,273.17,98,100,1.5,IS,1710292310
san ciro de acosta,21.6333,-99.8167,296.52,51,1,4.22,MX,1710292313
touros,-5.1989,-35.4608,300.96,79,11,2.87,BR,1710292375
uva,56.9908,52.1852,255.11,100,100,1.0,RU,1710292378
kalix,65.853,23.1565,267.49,97,100,1.76,SE,1710292323
antofagasta,-23.65,-70.4,292.77,82,65,2.1,CL,1710292245
mount pearl,47.5166,-52.7813,274.24,96,100,1.03,CA,1710292380
bage,-31.3314,-54.1069,299.03,73,0,6.17,BR,1710292381
parintins,-2.6283,-56.7358,298.89,91,86,1.56,BR,1710292382
pale,43.8161,18.5694,277.01,86,75,2.06,BA,1710292382
richards bay,-28.783,32.0377,298.9,83,100,5.71,ZA,1710292384
sergeyevka,53.88,67.4158,255.15,99,97,1.12,KZ,1710292385
longboat key,27.4125,-82.659,295.38,65,0,2.06,US,1710292386
rongelap,11.1635,166.8941,299.84,78,100,10.02,MH,1710292387
klaksvik,62.2266,-6.589,279.92,89,100,9.09,FO,1710292387
kincardine,56.0667,-3.7167,285.68,95,100,6.37,GB,1710292388
elliot lake,46.3834,-82.6331,274.03,89,100,2.46,CA,1710292389
esquel,-42.9,-71.3167,281.86,85,43,3.25,AR,1710292158
heppenheim an der bergstrasse,49.6408,8.6372,282.07,95,100,2.68,DE,1710292391
bokkos,9.3,9.0,297.09,37,97,2.01,NG,1710292392
lihue,21.9789,-159.3672,299.73,76,0,6.17,US,1710292392
dukku,10.8231,10.7717,301.57,12,100,3.64,NG,1710292393
auki,-8.7676,160.7034,302.66,71,54,2.21,SB,1710292395
st. john's,47.5649,-52.7093,274.7,96,100,1.03,CA,1710292288
tobruk,32.0836,23.9764,289.17,72,9,6.65,LY,1710292397
barclayville,4.6797,-8.2339,300.15,91,100,1.91,LR,1710292398
acarau,-2.8856,-40.12,300.09,84,100,3.74,BR,1710292206
sungailiat,-1.85,106.1333,299.87,89,100,4.84,ID,1710292400
suva,-18.1416,178.4415,300.86,89,75,4.12,FJ,1710292401
taro,-8.3862,115.28,298.15,84,100,1.62,ID,1710292402
kon tum,14.35,108.0,297.12,66,98,1.04,VN,1710292403
biryusinsk,55.9634,97.8235,265.96,94,100,2.67,RU,1710292405
uyovu,-3.2833,31.5258,290.99,95,81,1.72,TZ,1710292406
siwa oasis,29.2041,25.5195,290.24,31,0,1.91,EG,1710292406
melekeok village,7.4957,134.6367,302.46,79,75,6.17,PW,1710292410
springbok,-29.6643,17.8865,290.05,55,60,1.33,ZA,1710292410
igarka,67.4667,86.5833,249.6,98,100,7.17,RU,1710292411
great bend,38.3645,-98.7648,290.95,43,0,0.0,US,1710292414
priob'ye,62.5206,65.5964,254.28,95,100,3.95,RU,1710292414
muynoq,43.7683,59.0214,275.17,53,6,6.45,UZ,1710292404
ukiah,39.1502,-123.2078,287.28,69,0,5.66,US,1710292418
sola,-13.8833,167.55,301.41,79,100,6.43,VU,1710292418
mitsamiouli,-11.3847,43.2844,301.33,74,97,2.75,KM,1710292419
westport,41.1415,-73.3579,287.19,45,0,0.0,US,1710292318
zhengjiatun,43.5064,123.5064,275.67,48,0,4.05,CN,1710292424
faya-largeau,17.9257,19.1043,298.2,13,56,5.24,TD,1710292425
dalian,38.9122,121.6022,283.11,29,0,5.0,CN,1710292425
sunne,59.8376,13.143,274.33,95,100,0.74,SE,1710292427
aragarcas,-15.8975,-52.2508,298.64,87,8,1.78,BR,1710292428
saminaka,10.414,8.6828,298.63,46,100,1.26,NG,1710292432
paracuru,-3.41,-39.0306,302.65,84,100,2.74,BR,1710292433
turbat,26.0023,63.044,291.06,42,0,10.06,PK,1710292495
salinopolis,-0.6136,-47.3561,299.9,87,87,3.87,BR,1710292496
puerto baquerizo moreno,-0.9,-89.6,300.37,79,68,2.27,EC,1710292497
yonggang-up,38.8561,125.4244,280.32,45,7,4.46,KP,1710292498
kapit,2.0167,112.9333,297.99,98,100,0.76,MY,1710292500
clovis,36.8252,-119.7029,291.43,63,75,4.12,US,1710292425
bandundu,-3.3167,17.3667,297.87,71,69,0.81,CD,1710292505
kirs,59.3388,52.2447,258.97,99,99,2.04,RU,1710292507
fuglafjordur,62.244,-6.814,279.48,89,100,8.16,FO,1710292509
conceicao do almeida,-12.7794,-39.17,297.7,94,63,2.05,BR,1710292510
argo,37.6333,22.7333,283.59,76,1,1.88,GR,1710292512
boryeong,36.3493,126.5977,281.13,58,9,2.08,KR,1710292513
funafuti,-8.5243,179.1942,306.15,75,75,1.03,TV,1710292514
ambodifotatra,-16.9833,49.85,300.71,75,17,5.72,MG,1710292515
kavaratti,10.5669,72.642,300.74,73,6,2.84,IN,1710292516
paramonga,-10.6667,-77.8333,296.06,88,96,3.58,PE,1710292518
kuytun,54.3419,101.5036,266.03,89,100,4.29,RU,1710292518
port-vila,-17.7338,168.3219,303.93,84,75,2.06,VU,1710292298
